,Exp. m/z,Abundance
2301,540.07114,3051104
2302,540.07866,2139234
2306,541.01835,2067323
2308,541.02982,3449727
2311,541.0664,2947978
2319,542.0577,2819248
2325,543.0343799999999,2664911
2328,543.0709400000001,3103194
2334,543.1542599999999,2215410
2338,544.03722,2958067
2339,544.04518,4572917
2340,544.07347,2694909
2343,545.0135,2403340
2345,545.03989,2232339
2346,545.05005,3346454
2349,545.0785,3287070
2350,545.08659,2566177
2352,545.13027,7276589
2353,545.16655,4409400
2354,545.20297,2821186
2355,546.0243,3234092
2357,546.08928,2653502
2358,546.09717,3256641
2360,547.02934,2745927
2364,547.1014700000001,2158172
2367,547.1823400000001,4309618
2370,548.06831,2133353
2371,548.07645,5262188
2373,548.99847,2221674
2375,549.0312299999999,3605619
2376,549.03478,2471028
2377,549.0450400000001,2739318
2380,549.08106,2749568
2385,550.01922,2070400
2387,550.08402,2263954
2390,551.01049,3915403
2391,551.0139,3148428
2394,551.05026,3150486
2397,551.09638,2161314
2404,552.07137,4151206
2409,553.02972,3157154
2412,553.0759099999999,2023598
2414,553.0989099999999,4647092
2418,553.2295799999999,2250966
2420,554.05784,2324909
2423,554.12373,2058686
2427,555.04568,2956971
2429,555.0704900000001,2145969
2431,555.08202,2390708
2438,556.06611,2125742
2439,556.07348,2677680
2442,556.13922,2228160
2443,557.0139,2276507
2448,557.08615,2162861
2449,557.0938,10548399
2454,558.02456,3013014
2456,558.09732,3526056
2458,559.00013,5377669
2459,559.02893,2463372
2461,559.06511,2375317
2463,559.0944900000001,2512540
2467,560.0400900000001,4398977
2471,561.0443,3161201
2473,561.0672599999999,2243190
2474,561.0807599999999,2356345
2479,562.01935,2173783
2482,563.01368,2299456
2485,563.05038,2289224
2488,563.08659,2698832
2489,563.09673,2050643
2495,564.06339,2128690
2496,564.07125,5421876
2500,565.02984,2306063
2503,565.06606,2101271
2504,565.07545,2501657
2513,566.0872099999999,3617021
2514,566.1234099999999,2996485
2518,567.04539,2657747
2525,567.20824,2771447
2526,568.04538,2267823
2527,568.06377,2114228
2528,568.06625,2506420
2531,569.02475,2664325
2537,569.12999,3240860
2539,569.1878,3261353
2540,570.02437,2075741
2545,571.04043,2994486
2547,571.0650099999999,2195771
2551,571.13078,2425161
2552,571.14539,4028748
2553,571.18573,2053460
2554,572.0400099999999,4131337
2562,573.19794,2470650
2563,574.0191599999999,2523044
2566,574.99525,2599531
2567,575.01396,2064495
2572,575.17733,2995344
2577,576.14438,2296148
2580,577.02967,2387461
2583,577.07543,2273806
2589,578.0871,4185814
2594,579.0455900000001,2588562
2601,580.0661299999999,3811416
2607,581.09353,3641630
2611,582.08206,3267034
2612,582.118,2485216
