m/z	I
469.0184	2397161
469.02601	14195692
469.0363	2460657
469.04124	15592434
469.04461	4930548
469.05691	4065273
469.06238	28482554
469.07274	2299903
469.07767	8891393
469.08114	4624387
469.09332	3374088
469.09875	22027274
469.11424	4182032
469.11745	3936274
469.12959	2071574
469.13321	2935832
469.13518	15084569
469.15369	2852896
469.17157	6597672
469.20819	2052150
470.02938	3084676
470.03648	2935175
470.0447	4034954
470.06582	6163859
470.08107	2123161
470.10217	4687265
470.13853	4143536
470.98417	2462471
470.99753	2073357
471.00534	2037520
471.01505	2402068
471.02051	18390806
471.02394	5230360
471.03631	2625308
471.04163	14991135
471.05174	3093283
471.05688	20397860
471.06041	4683558
471.07275	2426667
471.078	15798061
471.0933	11562804
471.09673	3983157
471.11442	12115772
471.12964	4433731
471.13307	4114244
471.15076	5846859
471.16603	2495313
471.16931	2480466
472.02382	4187309
472.0451	2599094
472.05217	4407481
472.06028	3176636
472.08149	3576004
472.09682	2385099
472.11771	2806995
472.99976	10449465
473.00333	2737722
473.02088	2790977
473.03101	4018757
473.03619	31138376
473.03981	4805193
473.05721	8929872
473.06736	3347028
473.07255	24904278
473.07616	4067928
473.09379	7080543
473.10888	10601061
473.11231	5120614
473.13011	4334190
